2013,1,1,Announcement: A new journal from AIP Publishing—APL Materials,Mark M. Cassar,2013-06-28,2013-06-28,2013-07-18
2015,1,7,"New one-pot poly(3,4-ethylenedioxythiophene): poly(tetrahydrofuran) memory material for facile fabrication of memory organic electrochemical transistors","Bjorn Winther-Jensen, Bartlomiej Kolodziejczyk, Orawan Winther-Jensen",2014-09-04,2014-10-22,2014-11-05
2015,1,8,A hydrogel capsule as gate dielectric in flexible organic field-effect transistors,"L. M. Dumitru, K. Manoli, M. Magliulo, T. Ligonzo, G. Palazzo, L. Torsi",2014-10-01,2014-10-22,2014-11-05
2015,1,9,Field-effect and capacitive properties of water-gated transistors based on polythiophene derivatives,"R. Porrazzo, S. Bellani, A. Luzio, C. Bertarelli, G. Lanzani, M. Caironi, M. R. Antognazza",2014-09-01,2014-10-22,2014-11-10
2015,1,10,An enzyme logic bioprotonic transducer,"Takeo Miyake, Erik E. Josberger, Scott Keene, Yingxin Deng, Marco Rolandi",2014-09-08,2014-10-14,2014-11-10
2015,1,11,Protonic transistors from thin reflectin films,"David D. Ordinario, Long Phan, Jonah-Micah Jocson, Tam Nguyen, Alon A. Gorodetsky",2014-09-08,2014-10-28,2014-11-18
2015,1,12,Toughening in electrospun fibrous scaffolds,"C. T. Koh, M. L. Oyen",2014-09-03,2014-10-31,2014-11-18
2015,1,13,A bio-inspired memory device based on interfacing Physarum polycephalum with an organic semiconductor,"Agostino Romeo, Alice Dimonte, Giuseppe Tarabella, Pasquale D’Angelo, Victor Erokhin, Salvatore Iannotta",2014-09-01,2014-11-15,2014-12-03
2015,1,14,Incorporation of polymeric microparticles into collagen-hydroxyapatite scaffolds for the delivery of a pro-osteogenic peptide for bone tissue engineering,"Adolfo López-Noriega, Elaine Quinlan, Nehar Celikkin, Fergal J. O’Brien",2014-08-18,2014-11-17,2014-12-15
2015,1,15,Solvent-induced changes in PEDOT:PSS films for organic electrochemical transistors,"Shiming Zhang, Prajwal Kumar, Amel Sarah Nouas, Laurie Fontaine, Hao Tang, Fabio Cicoira",2014-09-01,2014-12-14,2014-12-30
2015,1,16,Mediating conducting polymer growth within hydrogels by controlling nucleation,"A. J. Patton, R. A. Green, L. A. Poole-Warren",2014-10-13,2014-12-09,2015-01-09
2015,1,17,Next generation bioelectronics: Advances in fabrication coupled with clever chemistries enable the effective integration of biomaterials and organic conductors,"Paul J. Molino, Gordon G. Wallace",2014-10-20,2014-12-17,2015-01-09
2015,1,18,Structural evolution in Ti-Cu-Ni metallic glasses during heating,"P. Gargarella, S. Pauly, M. Stoica, G. Vaughan, C. R. M. Afonso, U. Kühn, J. Eckert",2014-10-16,2014-12-16,2015-01-05
2015,1,19,Defects reduction of Ge epitaxial film in a germanium-on-insulator wafer by annealing in oxygen ambient,"Kwang Hong Lee, Shuyu Bao, Gang Yih Chong, Yew Heng Tan, Eugene A. Fitzgerald, Chuan Seng Tan",2014-10-07,2014-12-22,2015-01-07
2015,1,20,Growth and optical characteristics of high-quality ZnO thin films on graphene layers,"Suk In Park, Youngbin Tchoe, Hyeonjun Baek, Jaehyuk Heo, Jerome K. Hyun, Janghyun Jo, Miyoung Kim, Nam-Jung Kim, Gyu-Chul Yi",2014-11-04,2014-12-22,2015-01-07
2015,1,21,Dense zig-zag microstructures in YSZ thin films by pulsed laser deposition,"Dieter Stender, Nina Schäuble, Anke Weidenkaff, Alex Montagne, Rudy Ghisleni, Johann Michler, Christof W. Schneider, Alexander Wokaun, Thomas Lippert",2014-10-06,2014-12-25,2015-01-13
2015,1,22,High efficiency sequentially vapor grown n-i-p CH3NH3PbI3 perovskite solar cells with undoped P3HT as p-type heterojunction layer,"Hisham A. Abbas, Ranjith Kottokkaran, Balaji Ganapathy, Mehran Samiee, Liang Zhang, Andrew Kitahara, Max Noack, Vikram L. Dalal",2014-10-18,2015-01-01,2015-01-22
2015,2,1,Research Update: Comparison of salt- and molecular-based iodine treatments of PbS nanocrystal solids for solar cells,"Fabian Jähnig, Deniz Bozyigit, Olesya Yarema, Vanessa Wood",2014-12-15,2015-01-20,2015-02-03
2015,2,2,Perspective: Maintaining surface-phase purity is key to efficient open air fabricated cuprous oxide solar cells,"Robert L. Z. Hoye, Riley E. Brandt, Yulia Ievskaya, Shane Heffernan, Kevin P. Musselman, Tonio Buonassisi, Judith L. MacManus-Driscoll",2014-12-24,2015-02-06,2015-02-20
2015,2,3,"Selective growth of single phase VO2(A, B, and M) polymorph thin films","Amar Srivastava, Helene Rotella, Surajit Saha, Banabir Pal, Gopinadhan Kalon, Sinu Mathew, Mallikarjuna Motapothula, Michal Dykas, Ping Yang, Eiji Okunishi, D. D. Sarma, T. Venkatesan",2014-10-10,2015-01-16,2015-02-03
2015,2,4,High compositional homogeneity of CdTexSe1−x crystals grown by the Bridgman method,"U. N. Roy, A. E. Bolotnikov, G. S. Camarda, Y. Cui, A. Hossain, K. Lee, W. Lee, R. Tappero, G. Yang, R. Gul, R. B. James",2014-11-12,2015-01-21,2015-02-03
2015,2,5,Electrode size and boundary condition independent measurement of the effective piezoelectric coefficient of thin films,"M. Stewart, S. Lepadatu, L. N. McCartney, M. G. Cain, L. Wright, J. Crain, D. M. Newns, G. J. Martyna",2014-12-18,2015-01-31,2015-02-10
2015,2,6,One dimensional semiconductor nanostructures: An effective active-material for terahertz detection,"Miriam S. Vitiello, Leonardo Viti, Dominique Coquillat, Wojciech Knap, Daniele Ercolani, Lucia Sorba",2014-12-09,2015-01-16,2015-02-17
2015,2,7,ε-iron nitrides: Intrinsic anomalous Hall ferromagnets,"Guo-Ke Li, Yan Liu, De-Wei Zhao, Ping Song, Li Ma, Cong-Mian Zhen, Hui Liu, Deng-Lu Hou",2014-11-02,2015-02-06,2015-02-20
2015,2,8,"Publisher’s Note: “Direct observation and analysis of yolk-shell materials using low-voltage high-resolution scanning electron microscopy: Nanometal-particles encapsulated in metal-oxide, carbon, and polymer” [APL Mater. 2, 113317 (2014)]","Shunsuke Asahina, Mitsuo Suga, Hideyuki Takahashi, Hu Young Jeong, Carolina Galeano, Ferdi Schüth, Osamu Terasaki",2014-12-08, ,2015-02-05
2015,3,1,Research Update: Electrical monitoring of cysts using organic electrochemical transistors a,"M. Huerta, J. Rivnay, M. Ramuz, A. Hama, R. M. Owens",2014-12-19,2015-02-27,2015-03-23
2015,3,2,All-perovskite transparent high mobility field effect using epitaxial BaSnO3 and LaInO3,"Useong Kim, Chulkwon Park, Taewoo Ha, Young Mo Kim, Namwook Kim, Chanjong Ju, Jisung Park, Jaejun Yu, Jae Hoon Kim, Kookrin Char",2015-01-13,2015-02-16,2015-02-25
2015,3,3,"Electron tomography of (In,Ga)N insertions in GaN nanocolumns grown on semi-polar (⁠ 11   2   ̄   2 ⁠) GaN templates","M. Niehle, A. Trampert, S. Albert, A. Bengoechea-Encabo, E. Calleja",2015-01-22,2015-02-24,2015-03-03
2015,3,4,Order within disorder: The atomic structure of ion-beam sputtered amorphous tantala (a-Ta2O5),"Riccardo Bassiri, Franklin Liou, Matthew R. Abernathy, Angie C. Lin, Namjun Kim, Apurva Mehta, Badri Shyam, Robert L. Byer, Eric K. Gustafson, Martin Hart, Ian MacLaren, Iain W. Martin, Roger K. Route, Sheila Rowan, Jonathan F. Stebbins, Martin M. Fejer",2014-11-09,2015-02-16,2015-03-05
2015,3,5,LaTiO3/KTaO3 interfaces: A new two-dimensional electron gas system,"K. Zou, Sohrab Ismail-Beigi, Kim Kisslinger, Xuan Shen, Dong Su, F. J. Walker, C. H. Ahn",2014-12-19,2015-02-23,2015-03-05
2015,3,6,Epitaxial crystals of Bi2Pt2O7 pyrochlore through the transformation of δ–Bi2O3 fluorite,"Araceli Gutiérrez–Llorente, Howie Joress, Arthur Woll, Megan E. Holtz, Matthew J. Ward, Matthew C. Sullivan, David A. Muller, Joel D. Brock",2014-12-14,2015-02-03,2015-03-10
2015,3,7,Sub-nA spatially resolved conductivity profiling of surface and interface defects in ceria films,"Tim Farrow, Nan Yang, Sandra Doria, Alex Belianinov, Stephen Jesse, Thomas M. Arruda, Giuseppe Balestrino, Sergei V. Kalinin, Amit Kumar",2015-01-12,2015-03-03,2015-03-17
2015,3,8,Capillary effects in guided crystallization of organic thin films,"Alta Fang, Anna K. Hailey, Abigail Grosskopf, John E. Anthony, Yueh-Lin Loo, Mikko Haataja",2015-02-13,2015-03-09,2015-03-19
2015,3,9,Unexpected bismuth concentration profiles in metal-organic vapor phase epitaxy-grown Ga(As1−xBix)/GaAs superlattices revealed by Z-contrast scanning transmission electron microscopy imaging,"A. W. Wood, Y. Guan, K. Forghani, A. Anand, T. F. Kuech, S. E. Babcock",2015-01-15,2015-03-07,2015-03-20
2015,4,1,"Research Update: Atmospheric pressure spatial atomic layer deposition of ZnO thin films: Reactors, doping, and devices","Robert L. Z. Hoye, David Muñoz-Rojas, Shelby F. Nelson, Andrea Illiberi, Paul Poodt, Fred Roozeboom, Judith L. MacManus-Driscoll",2014-12-31,2015-03-17,2015-04-02
2015,4,2,Research Update: Point defects in CdTexSe1−x crystals grown from a Te-rich solution for applications in detecting radiation,"R. Gul, U. N. Roy, A. E. Bolotnikov, G. S. Camarda, Y. Cui, A. Hossain, W. Lee, G. Yang, Y. Cui, A. Burger, R. B. James",2014-09-17,2015-03-30,2015-04-15
2015,4,3,Commentary: The Hash House Harriers and the winding path to materials discovery,Paul C. Canfield,2015-02-03,2015-03-27,2015-04-07
2015,4,4,Enhancement of lower critical field by reducing the thickness of epitaxial and polycrystalline MgB2 thin films,"Teng Tan, M. A. Wolak, Narendra Acharya, Alex Krick, Andrew C. Lang, Jennifer Sloppy, Mitra L. Taheri, L. Civale, Ke Chen, X. X. Xi",2014-11-11,2015-03-16,2015-04-01
2015,4,5,Vibrational spectra and lattice thermal conductivity of kesterite-structured Cu2ZnSnS4 and Cu2ZnSnSe4,"Jonathan M. Skelton, Adam J. Jackson, Mirjana Dimitrievska, Suzanne K. Wallace, Aron Walsh",2015-02-28,2015-03-26,2015-04-07
2015,4,6,Large magnetic anisotropy in strained Fe/Co multilayers on AuCu and the effect of carbon doping,"G. Giannopoulos, R. Salikhov, B. Zingsem, A. Markou, I. Panagiotopoulos, V. Psycharis, M. Farle, D. Niarchos",2014-10-24,2015-04-14,2015-04-22
2015,4,7,Preface for Special Topic: New electronic and magnetic materials,Bob Cava,2015-04-08,2015-04-09,2015-04-29
2015,4,8,Lifshitz metal–insulator transition induced by the all-in/all-out magnetic order in the pyrochlore oxide Cd2Os2O7,"Z. Hiroi, J. Yamaura, T. Hirose, I. Nagashima, Y. Okamoto",2014-12-31,2015-01-27,2015-02-10
2015,4,9,Physical properties of V 1−xTixO2 (0 < x < 0.187) single crystals,"Tai Kong, Morgan W. Masters, Sergey L. Bud’ko, Paul C. Canfield",2014-12-17,2015-02-04,2015-02-13
2015,4,10,Magnetic and structural effects of partial Ce substitution in Y b14MnSb11,"Jason H. Grebenkemper, Susan M. Kauzlarich",2014-12-07,2015-01-31,2015-02-17
2015,4,11,Bulk crystal growth and electronic characterization of the 3D Dirac semimetal Na3Bi,"Satya K. Kushwaha, Jason W. Krizan, Benjamin E. Feldman, András Gyenis, Mallika T. Randeria, Jun Xiong, Su-Yang Xu, Nasser Alidoust, Ilya Belopolski, Tian Liang, M. Zahid Hasan, N. P. Ong, A. Yazdani, R. J. Cava",2014-12-19,2015-02-03,2015-02-17
2015,4,12,Self-poling with oxygen off-stoichiometry in ferroelectric hexagonal manganites,"Xueyun Wang, Fei-Ting Huang, Rongwei Hu, Fei Fan, Sang-Wook Cheong",2014-12-30,2015-02-03,2015-02-18
2015,4,13,Characterization of Lorenz number with Seebeck coefficient measurement,"Hyun-Sik Kim, Zachary M. Gibbs, Yinglu Tang, Heng Wang, G. Jeffrey Snyder",2014-12-31,2015-02-01,2015-02-18
2015,4,14,Superconducting dome and crossover to an insulating state in [Tl4]Tl1−xSnxTe3,"K. E. Arpino, B. D. Wasser, T. M. McQueen",2014-12-31,2015-02-11,2015-02-20
2015,4,15,Fabrication of (111)-oriented Ca0.5Sr0.5IrO3/SrTiO3 superlattices—A designed playground for honeycomb physics,"Daigorou Hirai, Jobu Matsuno, Hidenori Takagi",2015-01-07,2015-02-11,2015-02-24
2015,4,16,"Crystal structure and physical properties of new transition metal based pnictide compounds: LaTM2AsN (TM = Fe, Co, and Ni)","Sehoon Jeong, Satoru Matsuishi, Joonho Bang, Hideo Hosono",2014-12-23,2015-02-11,2015-02-24
2015,4,17,Orbital molecules in electronic materials,J. Paul Attfield,2014-12-22,2015-02-17,2015-02-24
2015,4,18,Intermediate valence in single crystals of (Lu1−xY bx)3Rh4Ge13 (0 ≤ x ≤ 1),"Binod K. Rai, E. Morosan",2015-01-01,2015-02-17,2015-03-02
2015,4,19,Building blocks for correlated superconductors and magnets,"J. L. Sarrao, F. Ronning, E. D. Bauer, C. D. Batista, J.-X. Zhu, J. D. Thompson",2015-01-12,2015-02-17,2015-03-03
2015,4,20,Enhanced thermoelectric power and electronic correlations in RuSe2,"Kefeng Wang, Aifeng Wang, A. Tomic, Limin Wang, A. M. Milinda Abeykoon, E. Dooryhee, S. J. L. Billinge, C. Petrovic",2014-12-31,2015-02-19,2015-03-03
2015,4,21,Rich structural phase diagram and thermoelectric properties of layered tellurides Mo1−xNbxTe2,"Koji Ikeura, Hideaki Sakai, Mohammad Saeed Bahramy, Shintaro Ishiwata",2015-01-16,2015-02-20,2015-03-06
2015,4,22,Strong spin-lattice coupling in CrSiTe3,"L. D. Casto, A. J. Clune, M. O. Yokosuk, J. L. Musfeldt, T. J. Williams, H. L. Zhuang, M.-W. Lin, K. Xiao, R. G. Hennig, B. C. Sales, J.-Q. Yan, D. Mandrus",2015-01-01,2015-02-19,2015-03-19
2015,4,23,Charge carrier concentration optimization of thermoelectric p-type half-Heusler compounds,"Elisabeth Rausch, Benjamin Balke, Torben Deschauer, Siham Ouardi, Claudia Felser",2015-01-31,2015-03-17,2015-03-30
2015,4,24,Physical properties and electronic structure of a new barium titanate suboxide Ba1+δTi13−δO12 (δ = 0.11),"Costel R. Rotundu, Shan Jiang, Xiaoyu Deng, Yiting Qian, Saeed Khan, David G. Hawthorn, Gabriel Kotliar, Ni Ni",2014-12-30,2015-03-26,2015-04-13
2015,4,25,Basics and prospective of magnetic Heusler compounds,"Claudia Felser, Lukas Wollmann, Stanislav Chadov, Gerhard H. Fecher, Stuart S. P. Parkin",2015-02-20,2015-04-01,2015-04-13
2015,4,26,Frustration under pressure: Exotic magnetism in new pyrochlore oxides,"C. R. Wiebe, A. M. Hallas",2014-12-30,2015-02-11,2015-04-15
2015,4,27,Soft chemical control of the crystal and magnetic structure of a layered mixed valent manganite oxide sulfide,"Jack N. Blandy, Artem M. Abakumov, Kirsten E. Christensen, Joke Hadermann, Paul Adamson, Simon J. Cassidy, Silvia Ramos, David G. Free, Harry Cohen, Daniel N. Woodruff, Amber L. Thompson, Simon J. Clarke",2015-03-18,2015-04-13,2015-04-21
2015,4,28,Temperature controlled motion of an antiferromagnet- ferromagnet interface within a dopant-graded FeRh epilayer,"C. Le Graët, T. R. Charlton, M. McLaren, M. Loving, S. A. Morley, C. J. Kinane, R. M. D. Brydson, L. H. Lewis, S. Langridge, C. H. Marrows",2014-12-16,2015-01-21,2015-02-04
2015,4,29,Penn gap rule in phase-change memory materials: No clear evidence for resonance bonds,"K. Shimakawa, L. Střižik, T. Wagner, M. Frumar",2014-12-05,2015-01-18,2015-02-04
2015,4,30,"Ferro- and antiferro-magnetism in (Np, Pu)BC","T. Klimczuk, A. B. Shick, A. L. Kozub, J.-C. Griveau, E. Colineau, M. Falmbigl, F. Wastin, P. Rogl",2014-12-28,2015-02-12,2015-03-02
2015,4,31,Preparation of Co2FeSn Heusler alloys by electrodeposition method,"Nobuaki Watanabe, Katsuhito Sano, Naoya Tasugi, Taiki Yamaguchi, Akihiro Yamamoto, Misa Ueno, Rie Sumiyoshi, Tomiyuki Arakawa, Ichiro Koiwa",2015-01-31,2015-04-06,2015-04-17
2015,4,32,Tunable and white light emitting AlPO4 mesoporous glass by design of inorganic/organic luminescent species,"Jin He, Yan Wang, Rihong Li, Xinqiang Yuan, Shiqing Xu, Long Zhang",2015-02-02,2015-03-22,2015-04-03
2015,4,33,Zero photoelastic and water durable ZnO–SnO–P2O5–B2O3 glasses,"Akira Saitoh, Kohei Nakata, Grégory Tricot, Yuanyuan Chen, Naoki Yamamoto, Hiromichi Takebe",2014-10-24,2015-04-01,2015-04-10
2015,5,1,Research Update: Enabling ultra-thin lightweight structures: Microsandwich structures with microlattice cores,"J. A. Kolodziejska, C. S. Roper, S. S. Yang, W. B. Carter, A. J. Jacobsen",2015-02-03,2015-05-04,2015-05-13
2015,5,2,Silicon nanowire arrays coated with electroless Ag for increased surface-enhanced Raman scattering,"Fan Bai, Meicheng Li, Pengfei Fu, Ruike Li, Tiansheng Gu, Rui Huang, Zhao Chen, Bing Jiang, Yingfeng Li",2015-03-07,2015-04-30,2015-05-11
2015,5,3,Film transfer enabled by nanosheet seed layers on arbitrary sacrificial substrates,"A. P. Dral, M. Nijland, G. Koster, J. E. ten Elshof",2015-02-13,2015-04-28,2015-05-11
2015,5,4,Growth of centimeter-scale atomically thin MoS2 films by pulsed laser deposition,"Gene Siegel, Y. P. Venkata Subbaiah, Megan C. Prestgard, Ashutosh Tiwari",2015-03-12,2015-05-12,2015-05-26
2015,6,1,Research Update: Inhomogeneous aluminium dopant distribution in magnetron sputtered ZnO:Al thin films and its influence on their electrical properties,"André Bikowski, Mythili Rengachari, Man Nie, Nelia Wanderka, Patrick Stender, Guido Schmitz, Klaus Ellmer",2015-01-25,2015-05-25,2015-06-08
2015,6,2,Commentary: Nanoarchitectonics— Think about NANO again,"Katsuhiko Ariga, Yusuke Yamauchi, Masakazu Aono",2015-05-09,2015-06-03,2015-06-16
2015,6,3,Engineering ferroelectric tunnel junctions through potential profile shaping,"S. Boyn, V. Garcia, S. Fusil, C. Carrétéro, K. Garcia, S. Xavier, S. Collin, C. Deranlot, M. Bibes, A. Barthélémy",2015-05-13,2015-06-09,2015-06-16
2015,6,4,Preface for Special Topic: Frontiers in Oxides: Properties and Electronic Applications,"Chang-Beom Eom, Judith L. MacManus-Driscoll",2015-06-12,2015-06-15,2015-06-29
2015,6,5,Research Update: New possibilities for the nanoscale engineering of complex oxide thin films,S. R. C. McMitchell,2015-03-03,2015-03-23,2015-04-03
2015,6,6,Research Update: Interface-engineered oxygen octahedral tilts in perovskite oxide heterostructures,"Daisuke Kan, Ryotaro Aso, Hiroki Kurata, Yuichi Shimakawa",2015-02-23,2015-04-12,2015-04-22
2015,6,7,Research Update: Orbital polarization in LaNiO3-based heterostructures,"Ankit S. Disa, F. J. Walker, Sohrab Ismail-Beigi, Charles H. Ahn",2015-03-20,2015-05-08,2015-05-20
2015,6,8,Perspective: Extremely fine tuning of doping enabled by combinatorial molecular-beam epitaxy,"J. Wu, I. Božović",2015-02-13,2015-03-29,2015-04-06
2015,6,9,Perspective: Emergent magnetic phenomena at interfaces,Yuri Suzuki,2015-04-20,2015-05-12,2015-05-20
2015,6,10,Perspective: Oxide molecular-beam epitaxy rocks!,Darrell G. Schlom,2015-03-13,2015-04-20,2015-05-26
2015,6,11,Sr2IrO4: Gateway to cuprate superconductivity?,J. F. Mitchell,2015-04-21,2015-05-15,2015-06-05
2015,6,12,Crystalline symmetry controlled magnetic switching in epitaxial (111) La0.7Sr0.3MnO3 thin films,"I. Hallsteinsen, E. Folven, F. K. Olsen, R. V. Chopdekar, M. S. Rzchowski, C. B. Eom, J. K. Grepstad, T. Tybell",2014-11-30,2015-01-28,2015-02-24
2015,6,13,Electric field effects in graphene/LaAlO3/SrTiO3 heterostructures and nanostructures,"Mengchen Huang, Giriraj Jnawali, Jen-Feng Hsu, Shonali Dhingra, Hyungwoo Lee, Sangwoo Ryu, Feng Bi, Fereshte Ghahari, Jayakanth Ravichandran, Lu Chen, Philip Kim, Chang-Beom Eom, Brian D’Urso, Patrick Irvin, Jeremy Levy",2015-02-02,2015-03-12,2015-03-20
2015,6,14,Gaps and pseudogaps in perovskite rare earth nickelates,"S. James Allen, Adam J. Hauser, Evgeny Mikheev, Jack Y. Zhang, Nelson E. Moreno, Junwoo Son, Daniel G. Ouellette, James Kally, Alex Kozhanov, Leon Balents, Susanne Stemmer",2014-10-17,2015-01-26,2015-04-23
2015,6,15,Enhanced electrical and magnetic properties in La0.7Sr0.3MnO3 thin films deposited on CaTiO3-buffered silicon substrates,"C. Adamo, L. Méchin, T. Heeg, M. Katz, S. Mercone, B. Guillet, S. Wu, J.-M. Routoure, J. Schubert, W. Zander, R. Misra, P. Schiffer, X. Q. Pan, D. G. Schlom",2015-01-24,2015-02-26,2015-04-24
2015,6,16,Transparent conducting properties of SrSnO3 and ZnSnO3,"Khuong P. Ong, Xiaofeng Fan, Alaska Subedi, Michael B. Sullivan, David J. Singh",2015-03-05,2015-04-20,2015-04-29
2015,6,17,Tailoring the electronic transitions of NdNiO3 films through (111)pc oriented interfaces,"S. Catalano, M. Gibert, V. Bisogni, F. He, R. Sutarto, M. Viret, P. Zubko, R. Scherwitzl, G. A. Sawatzky, T. Schmitt, J.-M. Triscone",2015-03-09,2015-04-26,2015-05-04
2015,6,18,New strain states and radical property tuning of metal oxides using a nanocomposite thin film approach,"Judith MacManus-Driscoll, Ady Suwardi, Ahmed Kursumovic, Zhenxing Bi, Chen-Fong Tsai, Haiyan Wang, Quanxi Jia, Oon Jew Lee",2015-03-06,2015-04-15,2015-05-05
2015,6,19,Spinodally decomposed nanostructures in a TiO2–VO2 crystal,"Z. Hiroi, T. Yoshida, J. Yamaura, Y. Okamoto",2015-03-18,2015-04-23,2015-05-06
2015,6,20,Structure and transport in high pressure oxygen sputter-deposited BaSnO3−δ,"Koustav Ganguly, Palak Ambwani, Peng Xu, Jong Seok Jeong, K. Andre Mkhoyan, C. Leighton, Bharat Jalan",2015-03-15,2015-04-27,2015-05-07
2015,6,21,Alkaline earth stannates: The next silicon?,"Sohrab Ismail-Beigi, Frederick J. Walker, Sang-Wook Cheong, Karin M. Rabe, Charles H. Ahn",2015-03-23,2015-05-06,2015-05-19
2015,6,22,Comparison of topotactic fluorination methods for complex oxide films,"E. J. Moon, A. K. Choquette, A. Huon, S. Z. Kulesa, D. Barbash, S. J. May",2015-02-27,2015-05-10,2015-05-26
2015,6,23,High pressure floating zone growth and structural properties of ferrimagnetic quantum paraelectric BaFe12O19,"H. B. Cao, Z. Y. Zhao, M. Lee, E. S. Choi, M. A. McGuire, B. C. Sales, H. D. Zhou, J.-Q. Yan, D. G. Mandrus",2015-03-02,2015-06-08,2015-06-24
2015,6,24,Impact of Mg content on native point defects in MgxZn1−xO (0 ≤ x ≤ 0.56),"J. Perkins, G. M. Foster, M. Myer, S. Mehra, J. M. Chauveau, A. Hierro, A. Redondo-Cubero, W. Windl, L. J. Brillson",2015-01-30,2015-03-06,2015-03-30
2015,6,25,Limits of carrier mobility in Sb-doped SnO2 conducting films deposited by reactive sputtering,"B. Bissig, T. Jäger, L. Ding, A. N. Tiwari, Y. E. Romanyuk",2015-02-09,2015-03-18,2015-03-30
2015,6,26,Highly transparent conductive electrode with ultra-low HAZE by grain boundary modification of aqueous solution fabricated alumina-doped zinc oxide nanocrystals,"Qiong Nian, Michael Callahan, David Look, Harry Efstathiadis, John Bailey, Gary J. Cheng",2014-12-30,2015-03-06,2015-04-09
2015,6,27,Operational stability of solution based zinc tin oxide/SiO2 thin film transistors under gate bias stress,"Asal Kiazadeh, Daniela Salgueiro, Rita Branquinho, Joana Pinto, Henrique L. Gomes, Pedro Barquinha, Rodrigo Martins, Elvira Fortunato",2015-02-24,2015-04-13,2015-04-23
2015,6,28,Magneto-transport study of top- and back-gated LaAlO3/SrTiO3 heterostructures,"W. Liu, S. Gariglio, A. Fête, D. Li, M. Boselli, D. Stornaiuolo, J.-M. Triscone",2015-01-23,2015-04-26,2015-05-13
2015,6,29,A comparison of light-coupling into high and low index nanostructured photovoltaic thin films,"T. Pfadler, M. Stärk, E. Zimmermann, M. Putnik, J. Boneberg, J. Weickert, L. Schmidt-Mende",2015-04-20,2015-05-20,2015-06-03
2015,6,30,Effects of antiferro-ferromagnetic phase coexistence and spin fluctuations on the magnetic and related properties of NdCuSi,"Sachin Gupta, K. G. Suresh, A. Das, A. K. Nigam, A. Hoser",2015-04-22,2015-05-31,2015-06-08
2015,6,31,Correlation of CsK2Sb photocathode lifetime with antimony thickness,"M. A. Mamun, C. Hernandez-Garcia, M. Poelker, A. A. Elmustafa",2015-04-12,2015-05-27,2015-06-10
2015,7,1,Research Update: Stoichiometry controlled oxide thin film growth by pulsed laser deposition,"Rik Groenen, Jasper Smit, Kasper Orsel, Arturas Vailionis, Bert Bastiaens, Mark Huijben, Klaus Boller, Guus Rijnders, Gertjan Koster",2015-05-01,2015-06-30,2015-07-23
2015,7,2,Ferromagnetism in Laves-phase WFe2 nanoparticles,"M. A. Koten, P. Manchanda, B. Balamurugan, R. Skomski, D. J. Sellmyer, J. E. Shield",2015-04-15,2015-06-29,2015-07-09
2015,7,3,A magnetic atomic laminate from thin film synthesis: (Mo0.5Mn0.5)2GaC,"R. Meshkian, A. S. Ingason, U. B. Arnalds, F. Magnus, J. Lu, J. Rosen",2015-04-30,2015-06-30,2015-07-09
2015,7,4,Porous composite with negative thermal expansion obtained by photopolymer additive manufacturing,"Akihiro Takezawa, Makoto Kobashi, Mitsuru Kitamura",2015-05-03,2015-07-02,2015-07-14
2015,7,5,Semiconducting ZnSnxGe1−xN2 alloys prepared by reactive radio-frequency sputtering,"Amanda M. Shing, Naomi C. Coronel, Nathan S. Lewis, Harry A. Atwater",2015-06-01,2015-07-07,2015-07-17
2015,7,6,Interlocked chiral/polar domain walls and large optical rotation in Ni3TeO6,"Xueyun Wang, Fei-Ting Huang, Junjie Yang, Yoon Seok Oh, Sang-Wook Cheong",2015-05-01,2015-07-08,2015-07-24
2015,7,7,Transparency of graphene for low-energy electrons measured in a vacuum-triode setup,"G. Hassink, R. Wanke, I. Rastegar, W. Braun, C. Stephanos, P. Herlinger, J. H. Smet, J. Mannhart",2015-05-27,2015-07-14,2015-07-27
2015,7,8,High electron mobility in epitaxial SnO2−x in semiconducting regime,"Hyosik Mun, Hyeonseok Yang, Jisung Park, Chanjong Ju, Kookrin Char",2015-03-16,2015-07-14,2015-07-30
2015,8,1,"Research Update: Synthesis, properties, and applications of ultrathin metallic nanowires and associated heterostructures","Haiqing Liu, Luyao Li, Megan E. Scofield, Stanislaus S. Wong",2015-06-11,2015-07-19,2015-08-12
2015,8,2,Research Update: Towards designed functionalities in oxide-based electronic materials,"James M. Rondinelli, Kenneth R. Poeppelmeier, Alex Zunger",2015-03-31,2015-07-26,2015-08-12
2015,8,3,Preface to special topic: Topological insulators,"Jagadeesh Moodera, Jason W. A. Robinson",2015-06-29,2015-07-01,2015-07-15
2015,8,4,Visualizing ferromagnetic domains in magnetic topological insulators,"Wenbo Wang, Fang Yang, Chunlei Gao, Jinfeng Jia, G. D. Gu, Weida Wu",2015-03-30,2015-05-03,2015-05-13
2015,8,5,Ferromagnetism in Cr-doped topological insulator TlSbTe2,"Zhiwei Wang, Kouji Segawa, Satoshi Sasaki, A. A. Taskin, Yoichi Ando",2015-03-31,2015-05-20,2015-06-03
2015,8,6,Characterizing the structure of topological insulator thin films,"Anthony Richardella, Abhinav Kandala, Joon Sue Lee, Nitin Samarth",2015-04-08,2015-06-26,2015-07-08
2015,8,7,Two-band model interpretation of the p- to n-transition in ternary tetradymite topological insulators,"T. C. Chasapis, D. Koumoulis, B. Leung, N. P. Calta, S.-H. Lo, V. P. Dravid, L.-S. Bouchard, M. G. Kanatzidis",2015-03-31,2015-06-09,2015-06-23
